reward_trajectory_1,reward_trajectory_2,reward_trajectory_3,reward_trajectory_4,reward_trajectory_5,reward_trajectory_6,timestep,actor_loss,critic_loss
-100.91256908320682,-100.61872010435397,-100.34783494992159,-100.78117582810003,-112.69976439049312,-100.83588790375195,0,-0.15805210173130035,0.005610923282802105
-101.99245706975088,-102.27490856968177,-101.28486162362186,-101.49091538504076,-102.1157293786276,-102.17728916033606,10000,0.1050121933221817,0.06021278351545334
-106.11538744976558,-106.41846819586998,-105.55971855317398,-104.4699727398719,-105.63916653539427,-105.15564239750988,20000,-0.0030072848312556744,0.008162170648574829
-105.17118926114465,-105.08831841809908,-105.15445690921321,-104.9638551637667,-105.29894381502085,-104.85771133301563,30000,-0.09724713116884232,0.01720566116273403
-139.18168000944704,-99.78670209132655,-99.95860709050189,-98.90731114742967,-143.40339730056746,-113.40332396481806,40000,-0.0751500129699707,0.01884590834379196
-170.32625480661105,-178.35962874559135,-178.34742846321456,-176.59319305986187,-176.4066864163515,-177.46483907751033,50000,-0.014933285303413868,0.01162555068731308
-179.59490148671753,-179.7664586376865,-180.2029685051378,-178.16409360107065,-178.8462125904671,-179.11310373435174,60000,0.005436277016997337,0.0063636405393481255
-179.40216346031113,-173.99935522900992,-173.7339351155237,-179.26085706833365,-179.2965545926377,-169.05258747960826,70000,-0.025568267330527306,0.00532955676317215
-177.34838463779496,-175.51826332100237,-175.89137671828757,-180.09018575445657,-179.52374868938455,-176.7084629360082,80000,-0.06497278809547424,0.005807397421449423
-177.45863190352955,-178.00297559737913,-177.79053009742802,-177.60674808436383,-177.63464596773653,-178.11506487608858,90000,-0.07417429983615875,0.006060929037630558
-158.9192986814443,-171.96733467723936,-160.41252986520809,-155.94232678634816,-158.88204555185624,-173.95818621444013,100000,-0.05610857531428337,0.005684882402420044
-166.03460319731704,-175.9823269055408,-170.89942209151042,-175.91291918210402,-170.09897530653268,-175.2085570024349,110000,-0.029057085514068604,0.005103431176394224
-163.30440135817832,-172.64999949788196,-172.33624480151636,-171.56901207540054,-172.6342477641622,-172.38646518352033,120000,-0.016880061477422714,0.003984545823186636
-170.52765346418826,-164.3363086776603,-173.3328527136412,-162.77463079474063,-171.55658717128554,-162.5694628409749,130000,-0.02655082941055298,0.0028006448410451412
-173.74098054588038,-177.1627725004339,-168.00584111867016,-171.03425791559633,-173.6993479132391,-175.66177302886024,140000,-0.04490923509001732,0.0021020479034632444
-171.66457496753412,-171.5584288385118,-164.56835572212037,-164.4038251444752,-173.70133309878682,-172.91862224944438,150000,-0.055088695138692856,0.0022204129491001368
-163.71530840334128,-147.96253106025597,-166.28087967908408,-157.33352683039362,-161.9524391998798,-164.1461561248094,160000,-0.05131033807992935,0.0025723669677972794
-169.9014691865581,-174.41994573807085,-174.1984096385874,-165.82569699204336,-158.45453073088007,-155.24289489193544,170000,-0.03957387059926987,0.0025539658963680267
-149.7791842970304,-170.46414306843698,-170.08425091822917,-165.40752142367964,-163.72698831547578,-159.0284738348445,180000,-0.03183705359697342,0.002155147958546877
-166.47037417693946,-159.87811280225495,-163.1754519711199,-167.42182302660814,-170.64568133164335,-162.22566736985857,190000,-0.0357854925096035,0.0014588495250791311
-165.77291436231337,-166.2652778494382,-175.75005884885198,-173.70665766412208,-175.85342307947747,-151.64655972443413,200000,-0.046990253031253815,0.000860929605551064
-172.23761056244896,-169.68875715060253,-171.9114686348811,-165.7037622306646,-171.9907228116177,-166.1009780584634,210000,-0.05421203374862671,0.0006384354783222079
-129.6066428941186,-131.06894740442246,-131.09615799191505,-132.97943788374562,-171.81991059275038,-129.25103552456557,220000,-0.0541817732155323,0.0008511031628586352
-130.2362531825909,-165.08626141959834,-160.9792672646373,-176.8908946592384,-131.03191501850563,-171.10116173864205,230000,-0.048543963581323624,0.0012515191920101643
-137.04248122207593,-138.86249435112842,-138.0766278007575,-137.39271715275754,-135.61058587124086,-139.33267804630736,240000,-0.04518616199493408,0.0013588087167590857
-172.41336297430558,-171.74007590365173,-170.29641752450675,-171.5843863707125,-171.0500968623277,-168.79963263662816,250000,-0.04734201356768608,0.0011339783668518066
-167.4674655996914,-168.95220440350968,-169.42415589847153,-172.96000622856323,-166.55744792109243,-172.76052197562112,260000,-0.05352369695901871,0.0006423925515264273
-170.25835806834957,-172.43266914977292,-170.69600887825493,-166.87647887894516,-173.7193907114328,-166.4682294322944,270000,-0.05695030838251114,0.0002884457935579121
-170.4736874898719,-174.76198750904916,-170.03359203270298,-168.02970277956206,-174.22350418510362,-174.5967556942349,280000,-0.05661169812083244,0.00025986816035583615
-167.73205853686682,-168.65641327009456,-139.4181375823718,-168.97195289243297,-143.11589639726083,-158.39653031826074,290000,-0.05210243910551071,0.00048164473264478147
-172.33255127656042,-156.57332324808428,-157.73446720940922,-172.62873108789933,-174.6594070516419,-157.50224932616987,300000,-0.04992964491248131,0.0007511472795158625
-172.4986499195465,-162.49689494307736,-162.52064997379688,-173.54649091437085,-162.14261073268983,-157.93901815805452,300000,-0.05221061781048775,0.000725611811503768
